diff/H/3_TO_18_fwd_3_TO_18 1
diff/H/3_TO_18_rev_3_TO_18 2
diff/H/3_TO_19_fwd_3_TO_19 1
diff/H/3_TO_19_rev_3_TO_19 4
diff/H/3_TO_23_fwd_3_TO_23 0
diff/H/3_TO_23_rev_3_TO_23 3
diff/H/3_TO_24_fwd_3_TO_24 1
diff/H/3_TO_24_rev_3_TO_24 1
diff/H/3_TO_25_fwd_3_TO_25 2
diff/H/3_TO_25_rev_3_TO_25 0
diff/H/3_TO_30_fwd_3_TO_30 1
diff/H/3_TO_30_rev_3_TO_30 2
diff/H/4_TO_5_fwd_4_TO_5 1
diff/H/4_TO_5_rev_4_TO_5 0
diff/H/4_TO_6_fwd_4_TO_6 1
diff/H/4_TO_6_rev_4_TO_6 3
diff/H/4_TO_8_fwd_4_TO_8 0
diff/H/4_TO_8_rev_4_TO_8 2
diff/H/4_TO_9_fwd_4_TO_9 1
diff/H/4_TO_9_rev_4_TO_9 1
diff/H/4_TO_12_fwd_4_TO_12 2
diff/H/4_TO_12_rev_4_TO_12 1
diff/H/4_TO_16_fwd_4_TO_16 0
diff/H/4_TO_16_rev_4_TO_16 0
diff/H/4_TO_17_fwd_4_TO_17 1
diff/H/4_TO_17_rev_4_TO_17 1
diff/H/4_TO_18_fwd_4_TO_18 1
diff/H/4_TO_18_rev_4_TO_18 1
diff/H/5_TO_6_fwd_5_TO_6 1
diff/H/5_TO_6_rev_5_TO_6 0
diff/H/5_TO_7_fwd_5_TO_7 0
diff/H/5_TO_7_rev_5_TO_7 1
diff/H/5_TO_9_fwd_5_TO_9 1
diff/H/5_TO_9_rev_5_TO_9 0
diff/H/5_TO_10_fwd_5_TO_10 1
diff/H/5_TO_10_rev_5_TO_10 0
diff/H/5_TO_13_fwd_5_TO_13 0
diff/H/5_TO_13_rev_5_TO_13 1
diff/H/5_TO_18_fwd_5_TO_18 1
diff/H/5_TO_18_rev_5_TO_18 0
diff/H/6_TO_7_fwd_6_TO_7 1
diff/H/6_TO_7_rev_6_TO_7 0
diff/H/6_TO_8_fwd_6_TO_8 0
diff/H/6_TO_8_rev_6_TO_8 3
diff/H/6_TO_10_fwd_6_TO_10 2
diff/H/6_TO_10_rev_6_TO_10 0
diff/H/6_TO_11_fwd_6_TO_11 0
diff/H/6_TO_11_rev_6_TO_11 1
diff/H/6_TO_13_fwd_6_TO_13 1
diff/H/6_TO_13_rev_6_TO_13 2
diff/H/6_TO_14_fwd_6_TO_14 1
diff/H/6_TO_14_rev_6_TO_14 0
diff/H/6_TO_15_fwd_6_TO_15 1
diff/H/6_TO_15_rev_6_TO_15 2
diff/H/7_TO_8_fwd_7_TO_8 7434
diff/H/7_TO_8_rev_7_TO_8 7704
diff/H/7_TO_9_fwd_7_TO_9 7617
diff/H/7_TO_9_rev_7_TO_9 7525
diff/H/7_TO_10_fwd_7_TO_10 7577
diff/H/7_TO_10_rev_7_TO_10 7655
diff/H/7_TO_11_fwd_7_TO_11 7641
diff/H/7_TO_11_rev_7_TO_11 7560
diff/H/7_TO_13_fwd_7_TO_13 7637
diff/H/7_TO_13_rev_7_TO_13 7522
diff/H/7_TO_14_fwd_7_TO_14 7528
diff/H/7_TO_14_rev_7_TO_14 7644
diff/H/7_TO_15_fwd_7_TO_15 7356
diff/H/7_TO_15_rev_7_TO_15 7365
diff/H/7_TO_18_fwd_7_TO_18 7514
diff/H/7_TO_18_rev_7_TO_18 7353
diff/H/7_TO_19_fwd_7_TO_19 1050
diff/H/7_TO_19_rev_7_TO_19 1080
diff/H/7_TO_20_fwd_7_TO_20 1100
diff/H/7_TO_20_rev_7_TO_20 1067
diff/H/7_TO_25_fwd_7_TO_25 706
diff/H/7_TO_25_rev_7_TO_25 697
diff/H/7_TO_26_fwd_7_TO_26 669
diff/H/7_TO_26_rev_7_TO_26 663
diff/H/7_TO_31_fwd_7_TO_31 1
diff/H/7_TO_31_rev_7_TO_31 0
diff/H/7_TO_34_fwd_7_TO_34 2
diff/H/7_TO_34_rev_7_TO_34 0
diff/H/8_TO_9_fwd_8_TO_9 7555
diff/H/8_TO_9_rev_8_TO_9 7552
diff/H/8_TO_11_fwd_8_TO_11 7670
diff/H/8_TO_11_rev_8_TO_11 7647
diff/H/8_TO_12_fwd_8_TO_12 7522
diff/H/8_TO_12_rev_8_TO_12 7627
diff/H/8_TO_14_fwd_8_TO_14 7330
diff/H/8_TO_14_rev_8_TO_14 7351
diff/H/8_TO_15_fwd_8_TO_15 7638
diff/H/8_TO_15_rev_8_TO_15 7584
diff/H/8_TO_16_fwd_8_TO_16 7643
diff/H/8_TO_16_rev_8_TO_16 7671
diff/H/8_TO_17_fwd_8_TO_17 7278
diff/H/8_TO_17_rev_8_TO_17 7549
diff/H/8_TO_21_fwd_8_TO_21 1066
diff/H/8_TO_21_rev_8_TO_21 1083
diff/H/8_TO_22_fwd_8_TO_22 1161
diff/H/8_TO_22_rev_8_TO_22 1123
diff/H/8_TO_27_fwd_8_TO_27 655
diff/H/8_TO_27_rev_8_TO_27 656
diff/H/8_TO_28_fwd_8_TO_28 683
diff/H/8_TO_28_rev_8_TO_28 637
diff/H/8_TO_32_fwd_8_TO_32 3
diff/H/8_TO_32_rev_8_TO_32 1
diff/H/8_TO_35_fwd_8_TO_35 2
diff/H/8_TO_35_rev_8_TO_35 1
diff/H/9_TO_10_fwd_9_TO_10 7730
diff/H/9_TO_10_rev_9_TO_10 7447
diff/H/9_TO_12_fwd_9_TO_12 7416
diff/H/9_TO_12_rev_9_TO_12 7516
diff/H/9_TO_13_fwd_9_TO_13 7527
diff/H/9_TO_13_rev_9_TO_13 7500
diff/H/9_TO_16_fwd_9_TO_16 7248
diff/H/9_TO_16_rev_9_TO_16 7318
diff/H/9_TO_17_fwd_9_TO_17 7586
diff/H/9_TO_17_rev_9_TO_17 7602
diff/H/9_TO_18_fwd_9_TO_18 7422
diff/H/9_TO_18_rev_9_TO_18 7424
diff/H/9_TO_23_fwd_9_TO_23 1100
diff/H/9_TO_23_rev_9_TO_23 1111
diff/H/9_TO_24_fwd_9_TO_24 1113
diff/H/9_TO_24_rev_9_TO_24 1137
diff/H/9_TO_29_fwd_9_TO_29 666
diff/H/9_TO_29_rev_9_TO_29 654
diff/H/9_TO_30_fwd_9_TO_30 651
diff/H/9_TO_30_rev_9_TO_30 655
diff/H/9_TO_33_fwd_9_TO_33 2
diff/H/9_TO_33_rev_9_TO_33 1
diff/H/9_TO_36_fwd_9_TO_36 3
diff/H/9_TO_36_rev_9_TO_36 3
diff/H/10_TO_13_fwd_10_TO_13 7568
diff/H/10_TO_13_rev_10_TO_13 7296
diff/H/10_TO_14_fwd_10_TO_14 7402
diff/H/10_TO_14_rev_10_TO_14 7424
diff/H/10_TO_17_fwd_10_TO_17 7640
diff/H/10_TO_17_rev_10_TO_17 7634
